iter	RMSE
0	0.4204081922
1	0.4119858996
2	0.4038020588
3	0.3977067277
4	0.3902270276
5	0.3833059283
6	0.3771878459
7	0.3727516317
8	0.3688780456
9	0.365919572
10	0.3609967528
11	0.3575261102
12	0.353965146
13	0.3503173144
14	0.3466691307
15	0.3439351347
16	0.3409973237
17	0.3386395051
18	0.3364734627
19	0.3342001148
20	0.3314333158
21	0.3301415303
22	0.3279774556
23	0.3255955017
24	0.3241202335
25	0.3227895117
26	0.3215428521
27	0.3201686354
28	0.3190518486
29	0.3174626487
30	0.3158311575
31	0.3146524864
32	0.3130143845
33	0.3120394635
34	0.3107280163
35	0.3102838337
36	0.3090917044
37	0.3081141498
38	0.3071526049
39	0.3063173548
40	0.3055011244
41	0.3040877926
42	0.3028371824
43	0.3020611269
44	0.300918623
45	0.3005579816
46	0.2994050804
47	0.2982611279
48	0.2974676195
49	0.296740153
50	0.295839676
51	0.2950336331
52	0.2945075455
53	0.29379065
54	0.2927886518
55	0.2922100261
56	0.2914099869
57	0.2909426801
58	0.2903629982
59	0.2901163765
60	0.2890292109
61	0.2885902106
62	0.2878284174
63	0.2875861319
64	0.2868112143
65	0.2862911926
66	0.2858776269
67	0.2853208608
68	0.2847507987
69	0.2840011264
70	0.2834465425
71	0.2828285296
72	0.2826671076
73	0.2824194525
74	0.2818096303
75	0.281271405
76	0.2807586356
77	0.279912577
78	0.2793871921
79	0.2791911373
80	0.278899524
81	0.2787472871
82	0.2779468924
83	0.2772897949
84	0.2768400693
85	0.2766157441
86	0.2764579424
87	0.2762270775
88	0.2760003122
89	0.2757182239
90	0.2756233654
91	0.2755190998
92	0.2751156808
93	0.2750148593
94	0.2749140562
95	0.2747683354
96	0.2745299591
97	0.2737220925
98	0.2733646163
99	0.2726494522
100	0.2724016559
101	0.2723345187
102	0.2722121941
103	0.2717123921
104	0.2709067835
105	0.2708281438
106	0.2705620019
107	0.2704613669
108	0.2699127678
109	0.2690579939
110	0.267949579
111	0.2675002659
112	0.2672942428
113	0.2672286079
114	0.2662812068
115	0.2660709013
116	0.2656843117
117	0.2653008349
118	0.2646893411
119	0.2644426099
120	0.2639605835
121	0.2632934068
122	0.2624116689
123	0.2619236406
124	0.2617922589
125	0.2613211176
126	0.2610167976
127	0.260880552
128	0.260199804
129	0.2601315177
130	0.2594853802
131	0.2586834579
132	0.2581455634
133	0.2572671668
134	0.2571441545
135	0.2570726932
136	0.2563280536
137	0.255830287
138	0.2557799244
139	0.2552185571
140	0.2551485954
141	0.2544528724
142	0.2539170529
143	0.253110978
144	0.2528311221
145	0.252493311
146	0.2522885894
147	0.2517749231
148	0.2515285693
149	0.2513898922
150	0.2510853681
151	0.2503863361
152	0.2498256368
153	0.2496341094
154	0.2494975731
155	0.249323816
156	0.2486482981
157	0.2484851929
158	0.2483452527
159	0.2478072416
160	0.2473227054
161	0.2472667862
162	0.246720879
163	0.246434766
164	0.2463541778
165	0.2463095986
166	0.2460172212
167	0.2456355073
168	0.2449898513
169	0.2448377377
170	0.2443259334
171	0.2439940426
172	0.2436396366
173	0.2435924017
174	0.2432022303
175	0.2427285005
176	0.2426865175
177	0.2423876124
178	0.2423569673
179	0.2418979771
180	0.2417746412
181	0.2413657697
182	0.2410609773
183	0.2409782294
184	0.2407971292
185	0.2404655406
186	0.2401632255
187	0.2397105031
188	0.2393976059
189	0.239053001
190	0.2386284735
191	0.2382157161
192	0.2381177683
193	0.2379268698
194	0.2374088847
195	0.237029578
196	0.236818803
197	0.2366460293
198	0.236472111
199	0.2361371649
200	0.2360530137
201	0.2358115913
202	0.2354869
203	0.2351955347
204	0.2348675783
205	0.2344138928
206	0.2342437937
207	0.2339609963
208	0.2337229507
209	0.2333813849
210	0.233285523
211	0.2329335465
212	0.2326944979
213	0.2326003211
214	0.2322455269
215	0.2321052529
216	0.2318167938
217	0.2315100816
218	0.231486616
219	0.2313722639
220	0.2312410922
221	0.2309549298
222	0.2307863401
223	0.2306614842
224	0.2306374085
225	0.2306146969
226	0.2304457141
227	0.2304264447
228	0.2303864715
229	0.2302959538
230	0.2302764695
231	0.2300232184
232	0.2300046183
233	0.2297902548
234	0.2294928542
235	0.2293835212
236	0.2291076796
237	0.2289474028
238	0.2286766104
239	0.2286533802
240	0.2286376739
241	0.2284513127
242	0.228269964
243	0.2280743251
244	0.2278586486
245	0.2275887321
246	0.2274035594
247	0.2272225833
248	0.2270555501
249	0.2269971482
250	0.2268371841
251	0.2267807583
252	0.2267305894
253	0.2267117458
254	0.2266767388
255	0.2264793776
256	0.2264598272
257	0.2263844056
258	0.2262694547
259	0.2261294771
260	0.2260323956
261	0.2259096976
262	0.2256663215
263	0.2256522232
264	0.2255270869
265	0.2254423932
266	0.2254218768
267	0.2251923422
268	0.2249032277
269	0.2248883908
270	0.2247407969
271	0.2244737899
272	0.2243274799
273	0.2241463608
274	0.2241348694
275	0.2240685366
276	0.224041342
277	0.2238503979
278	0.2238195861
279	0.2235881499
280	0.2235506137
281	0.2235407129
282	0.2233925398
283	0.2232066233
284	0.2230730071
285	0.2228350077
286	0.2227613272
287	0.2227484845
288	0.222519828
289	0.2224316251
290	0.2224164875
291	0.2223767219
292	0.2221766215
293	0.2220073209
294	0.2218117623
295	0.2216678845
296	0.221645515
297	0.2216194486
298	0.2215235563
299	0.2215096846
300	0.2213231039
301	0.2212638424
302	0.2210749555
303	0.2209045989
304	0.2208211371
305	0.2207544539
306	0.2206158064
307	0.220461299
308	0.2204517227
309	0.2203560834
310	0.2203427131
311	0.2202172151
312	0.2201925142
313	0.2201649554
314	0.2201544945
315	0.220145686
316	0.2201351665
317	0.2199864427
318	0.2199514866
319	0.2197357253
320	0.2197237926
321	0.2197141837
322	0.2197037766
323	0.2196873108
324	0.2195597664
325	0.2194679137
326	0.2194615803
327	0.2193281631
328	0.2192504099
329	0.2191183902
330	0.2190689437
331	0.2189131359
332	0.2188465884
333	0.2187597669
334	0.2186525535
335	0.2185486247
336	0.2184161044
337	0.2182975381
338	0.2181277273
339	0.2180515678
340	0.218035952
341	0.2179579869
342	0.2178157359
343	0.2178063309
344	0.2177265949
345	0.2176435445
346	0.2175444091
347	0.2175244556
348	0.217453886
349	0.2173474403
350	0.2173210978
351	0.2172196193
352	0.2172025048
353	0.2171555342
354	0.2170913704
355	0.216993873
356	0.2168857677
357	0.2168700283
358	0.2168134708
359	0.2168056655
360	0.2167306596
361	0.2166220881
362	0.2164867655
363	0.2164253783
364	0.2164100616
365	0.2164046313
366	0.2163959365
367	0.2163093218
368	0.216228594
369	0.2161601866
370	0.2161132705
371	0.2159770019
372	0.2158725755
373	0.2157957025
374	0.2157306818
375	0.2156613111
376	0.21558903
377	0.2155698107
378	0.215490306
379	0.215445468
380	0.2153663784
381	0.2152877335
382	0.2152591805
383	0.2151995696
384	0.2150823655
385	0.2150031669
386	0.2149786804
387	0.2149693849
388	0.214965211
389	0.2148807635
390	0.2147319305
391	0.2146778484
392	0.2145734635
393	0.2144803025
394	0.2144403986
395	0.214351106
396	0.2142655409
397	0.214260588
398	0.214203278
399	0.2141429956
