iter	Passed	Remaining
0	4	1915
1	8	1696
2	12	1614
3	15	1555
4	19	1506
5	22	1470
6	25	1439
7	28	1416
8	32	1402
9	35	1389
10	39	1384
11	42	1376
12	46	1372
13	49	1371
14	53	1364
15	56	1355
16	60	1357
17	64	1363
18	67	1350
19	70	1338
20	73	1328
21	76	1315
22	79	1309
23	82	1299
24	85	1289
25	88	1279
26	92	1273
27	95	1265
28	98	1257
29	101	1249
30	104	1242
31	107	1236
32	110	1229
33	113	1222
34	116	1215
35	119	1208
36	122	1201
37	125	1195
38	128	1190
39	131	1184
40	134	1179
41	137	1174
42	140	1169
43	143	1164
44	147	1160
45	150	1154
46	153	1149
47	156	1144
48	159	1139
49	162	1134
50	165	1129
51	168	1126
52	171	1121
53	174	1117
54	177	1113
55	180	1108
56	183	1105
57	186	1101
58	189	1096
59	192	1092
60	195	1088
61	199	1085
62	202	1081
63	205	1078
64	208	1074
65	211	1070
66	214	1066
67	217	1062
68	220	1059
69	223	1054
70	226	1051
71	229	1047
72	232	1043
73	235	1039
74	238	1035
75	241	1031
76	245	1028
77	248	1025
78	251	1021
79	254	1017
80	257	1013
81	260	1010
82	263	1006
83	266	1002
84	269	999
85	272	995
86	275	991
87	278	987
88	281	984
89	284	980
90	287	977
91	290	974
92	294	970
93	297	967
94	300	963
95	303	959
96	306	956
97	309	952
98	312	948
99	315	945
100	318	941
101	321	938
102	324	934
103	327	930
104	330	927
105	333	923
106	336	920
107	338	916
108	342	913
109	345	910
110	348	907
111	351	903
112	354	899
113	357	896
114	360	893
115	363	890
116	366	886
117	369	883
118	372	880
119	375	876
120	378	873
121	381	870
122	384	866
123	387	863
124	391	860
125	394	857
126	397	853
127	400	850
128	403	847
129	406	844
130	409	840
131	412	837
132	415	834
133	418	831
134	421	827
135	424	824
136	427	821
137	430	817
138	433	814
139	436	811
140	439	807
141	442	804
142	445	800
143	448	797
144	451	794
145	454	790
146	457	787
147	460	783
148	463	780
149	466	776
150	469	773
151	472	770
152	475	767
153	477	763
154	480	760
155	483	756
156	486	753
157	489	749
158	492	746
159	495	743
160	498	739
161	501	736
162	504	733
163	507	729
164	510	726
165	513	723
166	515	719
167	518	716
168	521	713
169	524	710
170	527	706
171	530	703
172	533	700
173	536	697
174	539	693
175	542	690
176	545	687
177	548	684
178	551	680
179	554	677
180	557	674
181	560	671
182	563	668
183	566	664
184	569	661
185	572	658
186	575	655
187	578	652
188	581	648
189	584	645
190	587	642
191	590	639
192	593	636
193	596	633
194	599	630
195	602	627
196	605	623
197	608	620
198	611	617
199	614	614
200	617	611
201	620	607
202	623	604
203	626	601
204	629	598
205	632	595
206	635	592
207	637	588
208	640	585
209	643	582
210	646	579
211	649	576
212	652	573
213	655	570
214	658	567
215	662	564
216	665	560
217	668	558
218	671	554
219	674	551
220	677	548
221	680	545
222	683	542
223	686	539
224	689	536
225	693	533
226	696	530
227	699	527
228	702	524
229	705	521
230	708	518
231	711	515
232	714	512
233	717	509
234	720	506
235	723	502
236	726	499
237	729	496
238	732	493
239	735	490
240	738	487
241	741	484
242	744	480
243	747	477
244	750	474
245	753	471
246	756	468
247	759	465
248	762	462
249	765	459
250	768	455
251	770	452
252	773	449
253	776	446
254	779	443
255	782	440
256	785	437
257	788	433
258	791	430
259	794	427
260	797	424
261	800	421
262	803	418
263	806	415
264	808	412
265	811	408
266	814	405
267	817	402
268	820	399
269	823	396
270	826	393
271	829	390
272	832	387
273	835	384
274	838	381
275	841	378
276	844	375
277	847	372
278	850	368
279	853	365
280	856	362
281	859	359
282	862	356
283	865	353
284	868	350
285	871	347
286	874	344
287	877	341
288	880	338
289	883	335
290	886	331
291	889	328
292	892	325
293	895	322
294	898	319
295	901	316
296	904	313
297	907	310
298	909	307
299	913	304
300	915	301
301	918	298
302	921	295
303	924	292
304	927	289
305	930	285
306	933	282
307	936	279
308	939	276
309	942	273
310	945	270
311	948	267
312	951	264
313	954	261
314	957	258
315	960	255
316	963	252
317	966	249
318	969	246
319	972	243
320	975	239
321	978	236
322	981	233
323	984	230
324	986	227
325	989	224
326	992	221
327	995	218
328	998	215
329	1001	212
330	1004	209
331	1007	206
332	1010	203
333	1013	200
334	1016	197
335	1019	194
336	1022	191
337	1025	188
338	1028	185
339	1031	181
340	1034	178
341	1037	175
342	1040	172
343	1043	169
344	1046	166
345	1049	163
346	1052	160
347	1055	157
348	1058	154
349	1061	151
350	1064	148
351	1067	145
352	1070	142
353	1073	139
354	1076	136
355	1079	133
356	1082	130
357	1085	127
358	1088	124
359	1091	121
360	1094	118
361	1097	115
362	1100	112
363	1103	109
364	1107	106
365	1109	103
366	1112	100
367	1115	97
368	1118	94
369	1122	90
370	1125	87
371	1128	84
372	1131	81
373	1134	78
374	1137	75
375	1140	72
376	1143	69
377	1146	66
378	1149	63
379	1152	60
380	1155	57
381	1158	54
382	1161	51
383	1164	48
384	1167	45
385	1170	42
386	1173	39
387	1176	36
388	1179	33
389	1182	30
390	1185	27
391	1188	24
392	1191	21
393	1194	18
394	1197	15
395	1200	12
396	1204	9
397	1207	6
398	1210	3
399	1213	0
